file_pair_id,file1_path,file2_path,file1_name,file2_name,Dolphin_length,MonkeyOCR_length,length_difference,similarity_ratio,character_error_rate,word_error_rate,edit_distance,status
1,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0057.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0057.md,digibok_2007031501007_0057.md,digibok_2007031501007_0057.md,1755,1936,181,0.9016526686534815,0.17834757834757833,0.16141732283464566,313,success
2,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0058.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0058.md,digibok_2007031501007_0058.md,digibok_2007031501007_0058.md,2476,2663,187,0.9297528702082117,0.12399030694668821,0.07446808510638298,307,success
3,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0059.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0059.md,digibok_2007031501007_0059.md,digibok_2007031501007_0059.md,2272,2765,493,0.8489180067500496,0.3001760563380282,0.34421364985163205,682,success
4,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0060.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0060.md,digibok_2007031501007_0060.md,digibok_2007031501007_0060.md,2509,2906,397,0.8986149584487535,0.19888401753686727,0.2401129943502825,499,success
5,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0061.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0061.md,digibok_2007031501007_0061.md,digibok_2007031501007_0061.md,2881,3026,145,0.5755882850854918,0.8170774036792781,0.2950108459869848,2354,success
6,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0062.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0062.md,digibok_2007031501007_0062.md,digibok_2007031501007_0062.md,2473,2667,194,0.8603112840466927,0.2503032753740396,0.1994750656167979,619,success
7,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0063.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0063.md,digibok_2007031501007_0063.md,digibok_2007031501007_0063.md,3378,3426,48,0.9620811287477954,0.05476613380698638,0.10053859964093358,185,success
8,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0064.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0064.md,digibok_2007031501007_0064.md,digibok_2007031501007_0064.md,2630,2883,253,0.8137130419009614,0.3319391634980989,0.2751196172248804,873,success
9,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0065.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0065.md,digibok_2007031501007_0065.md,digibok_2007031501007_0065.md,1930,2467,537,0.8146463497839436,0.36373056994818653,0.29411764705882354,702,success
10,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0066.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0066.md,digibok_2007031501007_0066.md,digibok_2007031501007_0066.md,2487,2628,141,0.9419354838709677,0.09931644551668677,0.14363143631436315,247,success
11,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0067.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0067.md,digibok_2007031501007_0067.md,digibok_2007031501007_0067.md,2932,3047,115,0.9409600267603279,0.08526603001364257,0.171875,250,success
12,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0068.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0068.md,digibok_2007031501007_0068.md,digibok_2007031501007_0068.md,3367,3445,78,0.9324721080446271,0.11493911493911493,0.0874751491053678,387,success
13,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0069.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0069.md,digibok_2007031501007_0069.md,digibok_2007031501007_0069.md,2475,2660,185,0.9308666017526777,0.11878787878787879,0.13636363636363635,294,success
